,english,sentiment,vader_sentiment,blob_sentiment
11044,forest_nation forest election is not_just a matter of discussion but it needs india in such a way intensive study and churning are necessary there_is a great role of presiding_officers,POSITIVE,POSITIVE,POSITIVE
11045,the language of our laws should_be so easy that normal person can understand it we have_given this constitution to the people of india therefore every decision under it to ensure normal_citizen directly from every law it must_be ensured,NEUTRAL,POSITIVE,POSITIVE
11046,know your customer is an_important aspect of digital security in the same_way kyc i e know your constitution can also strengthen_our constitutional security_armor therefore continuous campaigns should also be run for awareness of the constitution,NEUTRAL,POSITIVE,NEUTRAL
11047,sardar sarovar dam is stuck for years trapped an_attempt to misuse the constitution but we have the strength that has got the strength from our constitution easier,NEGATIVE,POSITIVE,NEGATIVE
11048,in the last_years an_attempt has_been tried to improve the harmony in the executive and judiciary the biggest impact of such efforts falls on the public s belief in difficult_times the public s faith remains on all three we have also seen the time of this global epidemic,NEUTRAL,POSITIVE,NEUTRAL
11049,today is a day to bow_down to all_those personality whose tireless_efforts we got the constitution today s date is also related to the largest terrorist_attack on the country now india is combat terrorism with a new policy new custom i warm over the security_forces in defense of india,POSITIVE,NEGATIVE,POSITIVE
11050,inaugurating re invest watch my_speech,POSITIVE,NEUTRAL,NEUTRAL
11051,in to mark_years of the constitution we organised the samvidhan gaurav yatra in surendranagar gujarat a replica of the constitution was placed on an elephant and the procession covered parts of the city i too walked in that procession it_was a_unique tribute,POSITIVE,NEUTRAL,NEUTRAL
11052,we began to observe th_november as constitution day in since_then people across_india have_been marking it with great_fervour this is a day to express_gratitude to the makers of our constitution and to reiterate_our commitment to building the india of their_dreams,POSITIVE,POSITIVE,NEUTRAL
11053,addressing the all india presiding_officers conference,NEUTRAL,NEUTRAL,NEUTRAL
11054,diego maradona was a maestro of football who enjoyed global_popularity throughout his_career he_gave us some of the best sporting moments on the football field his_untimely demise has saddened us all may his_soul rest in peace,NEGATIVE,POSITIVE,POSITIVE
11055,had_extensive discussions during_today’s pragati_meeting in which we discussed key_projects worth_rs lakh_crore spread_across various_states these will_benefit citizens and further_‘ease of living_’,POSITIVE,NEUTRAL,NEUTRAL
11056,innovative_efforts and the support of youngsters can lead to outstanding_results here is an_example of how we made khadi more popular in gujarat,POSITIVE,POSITIVE,POSITIVE
11057,the goal of the new national_education policy is that every young_man of the country can know himself he could tail his_mind try that the first self_confidence should come in our students and it only arrives when they get the freedom to make_decisions for themselves get flexibility,POSITIVE,POSITIVE,POSITIVE
11058,along_with the use of power it is equally necessary to be intended and will how to change from willpower this is an_example urea sector,NEUTRAL,NEUTRAL,NEUTRAL
11059,the university is not_just a center of higher_education it is also a place to achieve high goals high resolutions it is also aimed_at creation of character to wake_up our inside strength,POSITIVE,POSITIVE,POSITIVE
11060,speaking_at the university of lucknow,POSITIVE,NEUTRAL,NEUTRAL
11061,released a book on the life and ideals of sri_guru nanak_dev ji the book has_been penned_by kirpal_singh ji who is based in chandigarh,NEUTRAL,POSITIVE,NEUTRAL
11062,a book issued on the lives and ideals of guru_nanak dev_ji the book chandigarh residents have_been written by shri kirpal_singh ji,NEUTRAL,POSITIVE,NEUTRAL
11063,released a book based_on the life and ideals of mr_guru nanak_dev this book has_written by shri kripal singh_ji living in chandigarh,NEUTRAL,POSITIVE,NEUTRAL
11064,maulana kalbe sadiq was very_sad to be a vice_president of all india muslim personal law board he_made a remarkable_effort for social_goodwill and brotherhood my_senses towards their_families and seekers,NEGATIVE,NEUTRAL,NEUTRAL
11065,at_pm this_evening will_be addressing the centennial foundation_day of the university of lucknow the university is a reputed centre of learning and its students have_gone on to excel_in a_wide range_of areas do join the live programme,POSITIVE,POSITIVE,POSITIVE
11066,best_wishes to tripura cm_shri on his_birthday he is making_commendable efforts_towards the development of tripura may_he be_blessed with a long and healthy_life,POSITIVE,NEUTRAL,NEGATIVE
11067,saddened_by the demise of ahmed patel_ji he spent years in public life serving_society known for his sharp mind his role in strengthening the congress_party would always_be remembered spoke to his_son faisal and expressed_condolences may ahmed bhai’s soul_rest in peace,NEGATIVE,POSITIVE,NEGATIVE
11068,discussed_various aspects_relating to the covid_situation including further ramping_up of health infrastructure and ensuring vaccination to our citizens during the interaction_with cms earlier_today,NEUTRAL,POSITIVE,NEUTRAL
11069,interaction_with chief_ministers on covid,NEUTRAL,NEUTRAL,NEUTRAL
11070,on the occasion of the loved dedo i have_been laid_down for the sidewalk these unique leaders started playing guilty role in the unique_culture of non aggressive funds teou had been_able to disappear in the vicious oppressed_people,POSITIVE,NEGATIVE,NEGATIVE
11071,on the special_occasion of lachit diwas_we bow to the courageous lachit borphukan he_was an_outstanding leader and strategist_who played a_pivotal role in protecting the unique_culture of assam he also worked_extensively towards_empowering the poor and downtrodden,POSITIVE,POSITIVE,NEGATIVE
11072,sir chhotu ram_ji who dedicated_his life to the public_service and farmer_welfare bowed_down on his_birth anniversary he not_only struggled for the rights of the country s eggs but they also become the voice of laborers deprived and exploited his_contribution to the upliftment of society will_always be unforgettable,POSITIVE,NEGATIVE,POSITIVE
11073,i_talked with puducherry puducherry chief_minister about niver storm environment i confirmed that the federal_government will make all the assistance i_pray to be safe for people in vulnerable areas,POSITIVE,POSITIVE,POSITIVE
11074,spoke to tamil_nadu cm_shri and puducherry_cm shri regarding the situation in the wake of cyclone nivar assured_all possible_support from the centre i_pray for the safety and well_being of those_living in the affected_areas,POSITIVE,POSITIVE,NEUTRAL
11075,shri tarun gogoi ji was a popular leader and a veteran_administrator who had years of political_experience in assam as_well as the centre anguished_by his_passing away my_thoughts are with his_family and supporters in this_hour of sadness_om shanti,NEGATIVE,POSITIVE,POSITIVE
11076,inaugurating multi storey flats for mps,POSITIVE,NEUTRAL,NEUTRAL
11077,was_honoured to address g partners again on the nd day of the virtual_summit hosted_by saudi_arabia reiterated the importance of reforms in multilateral organizations to ensure better global_governance for faster post_covid recovery,POSITIVE,POSITIVE,POSITIVE
11078,speaking_at the griyadhsummit,NEUTRAL,NEUTRAL,NEUTRAL
11079,today with everyone everyone s development everyone s faith this mantra has_become the mantra of every part of the country every_citizen s faith every_person in the country every area is feeling that the government is reaching it and that too is a partner in the development of the country jalshaktiup,POSITIVE,POSITIVE,NEUTRAL
11080,there_is a major problem in the lack of trust and development in the village the dispute related to the house now for its permanent solution the map is being_made under the ownership scheme with this the poor tribal deprived partners will also be_able to spend their life with the possibility of occupation jalshaktiup,NEGATIVE,NEGATIVE,NEGATIVE
11081,our villages_were not given as much before the priorities given to the poor and the tribals of the people living in the village jalshaktiup,NEGATIVE,NEGATIVE,NEGATIVE
11082,many goals are_proven to be the plans today under the water_life mission the life of our mothers and sisters is becoming easy its a big profit has_happened to the health of poor_families at the same_time the advantage of livestock is also happening jalshaktiup,POSITIVE,POSITIVE,POSITIVE
11083,there has_been continuous work to remove vindhyachal s biggest trouble here is a part of this effort to build home home water and irrigation_facilities despite the corona s crisis how fast is it moving_forward in uttar_pradesh development tour these_projects are also examples,NEUTRAL,NEGATIVE,NEUTRAL
11084,spoke to shri mulayam singh yadav ji and greeted_him on his_birthday he is one of the senior_most and experienced_leaders of our country who is passionate_about agriculture and rural_development i_pray for his_long and healthy_life,POSITIVE,NEUTRAL,NEUTRAL
11085,harnessing jalshaktiup watch,NEUTRAL,NEUTRAL,NEUTRAL
11086,had a very fruitful_discussion with g_leaders coordinated efforts by the largest_economies of the world will surely lead to faster recovery from this_pandemic thanked saudi_arabia for hosting the virtual_summit griyadhsummit,POSITIVE,POSITIVE,POSITIVE
11087,yesterday s day is very_important for lakhs of vindhyachal area of uttar_pradesh in the morning i will keep the cornerstone of rural drinking_water supply projects through_video conferencing at apart_from this i will communicate_with the members of the water and sanitation committee,POSITIVE,NEUTRAL,NEUTRAL
11088,whether there_is a change in yourself or in the world the change is never a day in a week or a year there_is a_little continuous_effort for change every_day small work done by regulars brings very_large changes,NEUTRAL,NEUTRAL,NEGATIVE
11089,like a clean_energy for future nature environment and development there_are two_things and necessary in life clean slate and clean heart,POSITIVE,POSITIVE,POSITIVE
11090,the biggest key to success is sense of responsibility which fails they are_buried under the sense of burden wherever we are today there_is more society and country s contribution to us therefore we will also have to take a resolution that the debt of the country will return to the society,NEGATIVE,NEGATIVE,POSITIVE
11091,remember that plaque of the country hundred_years ago what was your_dreams in what was his dreams even today the opportunity to serve the motherland is the same if the young_men spent their youth for freedom then there_is a goal of self_sufficient in front of today s youth,POSITIVE,POSITIVE,NEGATIVE
11092,when the whole_world is struggling with such a big crisis it is not_easy to be graduate at such times but your strengths and capabilities are far larger than these challenges do_not ever lose this belief what are problems more important_than what are your purpose preferences and plans,NEUTRAL,NEGATIVE,POSITIVE
11093,interacting_with students of pdpu is special this is a university i have had the honour of being_closely associated_with since its start over the years it has_drawn fine talent from all over india and has_been at the forefront_of pioneering_research in the energy_sector,POSITIVE,POSITIVE,POSITIVE
11094,addressing the students of pdpu during their convocation,POSITIVE,NEUTRAL,NEUTRAL
11095,held a meeting to review india’s_vaccination strategy and the way forward important_issues related to progress of vaccine development regulatory approvals and procurement were discussed,NEGATIVE,POSITIVE,NEUTRAL
11096,at_am tomorrow_st november i_would be_addressing the convocation of pdpu gandhinagar will also be_inaugurating various centres that would boost research innovation and learning at pdpu,POSITIVE,POSITIVE,NEUTRAL
11097,very good_luck to all the countrymen of mahaparv chhath of the sun s worship sixth maiya communicates happiness and prosperity and sunlight in all life,POSITIVE,POSITIVE,POSITIVE
11098,our security_forces have once_again displayed utmost bravery and professionalism thanks to their alertness they have defeated a nefarious plot to target grassroots_level democratic exercises in jammu and kashmir,POSITIVE,POSITIVE,POSITIVE
11099,neutralising of terrorists belonging to pakistan based terrorist organisation jaish e mohammed and the presence of large cache of weapons and explosives with them indicates that their efforts to wreak major havoc and destruction have once_again been thwarted,NEGATIVE,NEGATIVE,POSITIVE
11100,boosting ties with_bhutan,POSITIVE,POSITIVE,NEUTRAL
11101,was_pleased to hold the india_luxembourg summit with pm in virtual format today we agreed on the potential to further_deepen amp expand our growing bilateral_exchanges especially in the economic realm i welcome luxembourg joining the international_solar alliance,POSITIVE,POSITIVE,POSITIVE
11102,speaking_at the first_ever india_luxembourg bilateral_summit with pm,POSITIVE,NEUTRAL,NEUTRAL
11103,invigorating the defence_sector with latest_technology,POSITIVE,POSITIVE,NEUTRAL
11104,the government of india is working_towards policy friendly_measures for the it industry,POSITIVE,NEUTRAL,NEUTRAL
11105,the information_era is different from the industrial era the information_era brings many_opportunities that our youth can harness,POSITIVE,NEUTRAL,NEUTRAL
11106,the covid global_pandemic has_witnessed unparalleled tech adoption be it at_home in style of work healthcare and education,POSITIVE,NEUTRAL,NEUTRAL
11107,digital_india has played a_pivotal role in transforming the lives of the poor and marginalised,POSITIVE,NEGATIVE,NEGATIVE
11108,over the past_few days i have_been reading a new idea of india individual rights in a civilisational state’ by two bright minds and their work makes rich_contributions to intellectual_discourse i_hope you read it too,POSITIVE,POSITIVE,POSITIVE
11109,on world toilet day india strengthens its resolve of toiletall the last_few years have_seen an_unparalleled achievement of providing hygienic toilets to crores of indians it has_brought tremendous health benefits along_with dignity especially to our_nari shakti,POSITIVE,POSITIVE,POSITIVE
11110,addressing the bengaluru_tech summit,POSITIVE,NEUTRAL,NEUTRAL
11111,naman_on his_birth anniversary to former_prime minister indira_gandhi tributes_to former_pm smt_indira gandhi_ji on her_birth anniversary,NEUTRAL,NEUTRAL,NEUTRAL
11112,verangna rani lakshmibai who introduces amazing power in the first battle of independence bowed_down on her_birth anniversary his shauraitha will_always remain_inspiration for the countrymen,POSITIVE,POSITIVE,POSITIVE
11113,will_be addressing the bengaluru_tech summit at_am tomorrow_th november looking_forward to interacting_with the best_minds from the world of technology start_ups and innovation,POSITIVE,POSITIVE,NEUTRAL
11114,smt mridula sinha ji will_be remembered_for her efforts_towards public_service she_was also a proficient writer making extensive_contributions to the world of literature as_well as culture anguished_by her_demise condolences to her_family and admirers_om shanti,NEGATIVE,NEUTRAL,NEUTRAL
11115,saddened_by the accident in vadodara my_thoughts are with those_who lost_their loved_ones praying that the injured_recover soon the administration is providing all possible_assistance at the site of the accident,NEGATIVE,NEGATIVE,NEUTRAL
11116,india_offers investors exactly_what they_need come invest_in india,POSITIVE,NEUTRAL,NEUTRAL
11117,the need of the hour affordable_housing sustainable_mobility,POSITIVE,NEUTRAL,NEUTRAL
11118,one of the areas that requires global attention in the post_covid era is ensuring urban rejuvenation,POSITIVE,POSITIVE,NEUTRAL
11119,i also_conveyed warm_congratulations for vp elect her success is a matter of great pride and inspiration_for members of the vibrant indian american community who are a_tremendous source of strength for indo_us relations,POSITIVE,POSITIVE,POSITIVE
11120,spoke to us president_elect on phone to congratulate_him we reiterated our firm_commitment to the indo_us strategic_partnership and discussed our_shared priorities and concerns covid pandemic climate_change and cooperation in the indo_pacific region,POSITIVE,NEUTRAL,NEUTRAL
11121,addressing rd_annual bloomberg new economy forum,NEUTRAL,NEUTRAL,POSITIVE
11122,my intervention during the brics_summit,NEUTRAL,NEUTRAL,NEUTRAL
11123,speaking_at the brics_summit,NEUTRAL,NEUTRAL,NEUTRAL
11124,every mannkibaat we celebrate the accomplishments of outstanding people working for societal good but for every one example shared there_are many i_am unable to share due_to paucity of time but i do read many of the inputs and they are truly valuable,NEUTRAL,POSITIVE,POSITIVE
11125,congratulations to ji on taking_oath as bihar’s cm i also congratulate all_those who_took oath_as ministers in the bihar government the nda family will work_together for the progress of bihar i_assure all possible_support from the centre for the welfare of bihar,POSITIVE,POSITIVE,NEUTRAL
11126,the hard time of corona pandemic has_been like a criterion for our service and our solidarity but i_am satisfied_that the country is coming out of this criterion the country has not_only kept the feeling of poor_welfare but_also presented an_example in front of the world,POSITIVE,POSITIVE,NEGATIVE
11127,service education and self_reliance these topics_were the closest to the heart of acharya vijaywallab ji inspired_by his social philosophy how many young_people are connecting to the social service from their tradition today taking the resolution of the service,POSITIVE,POSITIVE,POSITIVE
11128,india has always shown the path of peace non_violence and brotherhood to the whole_world and humanity for this guidance the world is once_again looking at india i_believe that this statue of peace will become an_inspiration of peace nonviolence and service in the world,POSITIVE,POSITIVE,NEUTRAL
11129,just as the movement of independence began with a devotional_movement the backer of self_reliant india can prepare our saint mahant acharya to every_person the message of vocal_for local should_be reached i request a humble_request from saints and great men let_us go_ahead for it,POSITIVE,POSITIVE,POSITIVE
11130,a tribute then janacharya shri vijay_vallabh suriswar ji_maharaj hatap_t co y junk,NEUTRAL,NEUTRAL,NEUTRAL
11131,at today afternoon will_unveil the ‘statue of peace’ to mark the st jayanti_celebrations of jainacharya shree vijay_vallabh surishwer ji_maharaj do watch the programme,POSITIVE,NEUTRAL,NEUTRAL
11132,very good_luck to all of you on the holy_occasion of brother duo,POSITIVE,NEUTRAL,POSITIVE
11133,nutan anniversaries all gujarati sisters brothers happy best_wishes you all have health prosperity and happiness in the new_year come come with all of us do_not share with the new_year navalone navalas navistraya s makeover salmuburak,POSITIVE,POSITIVE,POSITIVE
11134,pro the news of the death of ravindra nagar ji is very_sad he has_been a significant_contribution in promoting sanskrit_language and popularize it my_condolences towards their_families and fans in this_hour of mourning_om shanti,NEGATIVE,NEUTRAL,NEUTRAL
11135,mr soumita chatterjee s demise is very_large damage to west_bengal and cultural life of the whole_country his_demise is very_sad my_condolences for kin and fans_om shanti,NEGATIVE,NEGATIVE,POSITIVE
11136,sri soumitra chattopadhaya s death film world west_bengal is an_irreparable loss in india s cultural expansion in his work the reflection of bengalis sentiment and morality is found i_am mourned in his_life sri chattopadhay s family and fans expressed sympathy this is peace,NEUTRAL,NEGATIVE,POSITIVE
11137,shri soumitra chatterjee’s death is a colossal loss to the world of cinema cultural life of west_bengal and india through his works he came to embody bengali sensibilities emotions and ethos anguished_by his_demise condolences to his_family and admirers_om shanti,NEGATIVE,NEGATIVE,POSITIVE
11138,lord birsa munda will bow_down to his_birth anniversary they_were the true messiah of the poor who struggled lifetime for the welfare of the exploited and deprived class his efforts to contribute to the freedom_movement and social_goodwill will_always continue to motivate the countrymen,POSITIVE,NEGATIVE,NEGATIVE
11139,my_best wishes to all the residents of the state on the establishment_day of jharkhand on this occasion i_wish all the people s happiness_prosperity and great health,POSITIVE,POSITIVE,POSITIVE
11140,shri kailash sarang ji made stupendous efforts to strengthen the bjp across_madhya pradesh he will_be remembered as a compassionate and hardworking leader committed to mp’s progress anguished_by his_demise condolences to his_family and well_wishers om_shanti,NEGATIVE,POSITIVE,NEUTRAL
11141,some more_glimpses from_longewala earlier_today,NEUTRAL,NEUTRAL,NEUTRAL
11142,laid a_wreath at the war_memorial at longewala rajasthan,POSITIVE,NEUTRAL,NEUTRAL
11143,it is important that the coming_generations know about the bravery with which our soldiers and security_forces ensured that india is safe from the evil designs of those_who eyed our territory,POSITIVE,POSITIVE,NEGATIVE
11144,interacted_with our air_warriors and brave_soldiers and security personnel at jaisalmer,POSITIVE,POSITIVE,NEUTRAL
11145,every year i cherish spending diwali with our security_forces it is a way of reaffirming our solidarity_with them as they_bravely protect the nation and ensure our country can scale_new heights of progress here are some_glimpses from_longewala today,POSITIVE,POSITIVE,NEUTRAL
11146,every time in every festival whenever i come in between you as much time i spend in your happiness and misery my resolve is stronger,NEUTRAL,POSITIVE,POSITIVE
11147,while staying on the border you sacrifice a penance it produces a trust in the country it is believed_that the biggest_challenge can be combined together this inspiration from you has_been mobilized in protecting the life of every_citizen in this difficult_time of the country s epidemic,POSITIVE,POSITIVE,NEUTRAL
11148,the integrity of the country depends_on the unity of the countrymen the security of the boundary is attached to the power of security_forces our words on the border were encouraged and their morale is also high with the sky so their every need is included in the country s top_priorities today,POSITIVE,POSITIVE,POSITIVE
11149,today is troubled_by the whole_world expansionist forces expandism is a way mental deformity and reflects the thinking of the th_century india is becoming a voice against this thinking,NEGATIVE,NEUTRAL,POSITIVE
11150,vigilance is the path of security the reflex is the sake_of happiness strength is the belief of victory there_is peace of peace from competency india is safe today because india has the power to protect india has you,POSITIVE,POSITIVE,POSITIVE
11151,whatever the situation your power and bravery is incomparable million_destinations are firmly standing with you they are proud of your_invincibility on your_invincibility any power in the world can not prevent our brave_soldiers from protecting the country s boundary,POSITIVE,POSITIVE,POSITIVE
11152,whenever the history of military will_be written_about the history the battle of longware will_definitely be_remembered on the post here your colleagues have_written a saga of shaurya which still fills the heart of every_indian,POSITIVE,POSITIVE,NEGATIVE
11153,when i_went to siachin on diwali in some people were shocked i will come to diwali only where will you remove away_from your friends you stay on the snowy hills or in the desert my diwali is fulfilled between you i also bring love_affection to you with myself,NEGATIVE,POSITIVE,NEGATIVE
11154,india is proud of our forces who protect our_nation courageously,POSITIVE,POSITIVE,POSITIVE
11155,my humble_tribute to the country s first prime_minister pt jawaharlal nehru on his_birth anniversary,POSITIVE,NEUTRAL,POSITIVE
11156,hearty good_wishes of deepawali to all the countrymen wishing_everyone a happy_diwali may this festival further brightness and happiness may everyone be prosperous and healthy,POSITIVE,POSITIVE,POSITIVE
11157,this diwali let_us also light a diya as a salutesoldiers who fearlessly protect our_nation words can’t_do justice to the sense of gratitude we have for our soldiers for their exemplary courage we are also grateful to the families of those on the borders,POSITIVE,POSITIVE,POSITIVE
11158,furthering the popularity of ayurveda in india ayurvedaday,POSITIVE,POSITIVE,NEUTRAL
11159,congratulations to all of you dhanteras lord dhanvantri bring_happiness prosperity good_luck and great health in everyone s life,POSITIVE,POSITIVE,POSITIVE
11160,congratulations to daw aung_san suu_kyi amp nld for victory in the elections the successful conduct of polls is another_step in the ongoing democratic transition in_myanmar i_look forward to continuing to work with you to strengthen_our traditional bonds of friendship,POSITIVE,POSITIVE,POSITIVE
11161,today everyone proud of their_ideology it s but natural but our ideology should_be seen in the subjects of national_interest not against the nation,POSITIVE,POSITIVE,POSITIVE
11162,new national_education is the core_values of policy building youth india filled_with confidence conviction and character this was also vision of swamiji they wanted that education in india is such that the self_confidence and made self_sufficient,POSITIVE,POSITIVE,POSITIVE
11163,today the more reforms in the system are being resolved to improve india every type today with the reforms the guilt and integrity are sacred today a security_armor is being_prepared before the reforms this is the largest base of armor trust,POSITIVE,POSITIVE,NEGATIVE
11164,the young world of the country are brand ambassadors in india our young countries represent culture and traditions therefore it is not_just proud to identify india s identity on thousands_of years but_also in the st_century to fabricate the new identity,POSITIVE,POSITIVE,POSITIVE
11165,swami_vivekanand ji said the secret of faith in the idol is that you develop vision of divinity from that one my_wish is that jnu inspired the statue of swami ji and filled_with energy this statue will give the courage which swamiji wanted to see every_person,POSITIVE,POSITIVE,NEGATIVE
11166,today’s aatmanirbhar_bharat package continues our efforts to help all_sections of society these initiatives will help in creating_jobs alleviate stressed sectors ensure liquidity boost_manufacturing energise real_estate sector amp support farmers,POSITIVE,POSITIVE,NEUTRAL
11167,matter of immense_pride that a swami_vivekananda statue is being unveiled in jnu,POSITIVE,NEUTRAL,NEUTRAL
11168,the grand minister of the gujarat_government i_am sorrow with death of shri susher singh_chauhan my_sympathy for prayer and mourning_family for the peace of the soul of the sorry,NEGATIVE,NEGATIVE,NEUTRAL
11169,speaking_at the th asean india summit,NEUTRAL,NEUTRAL,NEUTRAL
11170,at this_evening will_unveil a statue of swami_vivekananda at the jnu campus and share my_thoughts on the occasion the programme will_be held via_video conferencing i_look forward to the programme this_evening,POSITIVE,POSITIVE,NEUTRAL
11171,had an_excellent conversation_with dg of we discussed the vast_potential of traditional medicine for promoting health and wellness in the world i also assured india s support to who and the world community in the fight_against covid,POSITIVE,POSITIVE,NEUTRAL
11172,whose heart is the national_interest paramount in which there_is a commitment to democracy i have a call from the youth that they come_forward and get into the service of the country through bjp to realize your_dreams to prove your resolutions bring lotus in hand,POSITIVE,POSITIVE,NEUTRAL
11173,st_century india is a new mood of india neither can we stop disasters nor have large challenges i_am looking at the rise of a new india when many countries of the world were stopped our country also made new policies for new decisions,NEGATIVE,NEGATIVE,POSITIVE
11174,if today you ask_me about the election_results of bihar my answer is also very_clear as the public s mandate the mantra of everyone with everyone s development in bihar has_won,POSITIVE,NEUTRAL,NEUTRAL
11175,bjp is the identity of governments good_governance how to change the conditions from good_governance it helps in facing large disasters we have also seen in this period of corona,NEUTRAL,NEGATIVE,POSITIVE
11176,today the bjp is the only national party in the country in which poor_dalit suffering_exploited deprived of deprived those_who understand the needs of every_class of society are working with the national aspirations the glory of every region also runs with him,POSITIVE,NEUTRAL,NEUTRAL
11177,the election_results tomorrow their implications are very deep their meanings are very_big the citizens of st_century india are repeatedly clear their messages now the chance of service will_be done which will work honestly with the goal of the country s development,POSITIVE,POSITIVE,POSITIVE
11178,there_is a defeat in the election_results but this process of election is the subject of pride for every_indian that s_why i_congratulate the whole_country election_commission security_forces and local administration are also eligible for congratulations who have_shown such a big election in this crisis_period of corona,POSITIVE,POSITIVE,NEGATIVE
11179,speaking from the hq,NEUTRAL,NEUTRAL,NEUTRAL
11180,my_heartfelt condolences on the sad_demise of his royal_highness prince khalifa bin salman al khalifa prime_minister of the kingdom of bahrain in this moment of grief our thoughts and prayers_are with_hm the king of bahrain the royal_family and the people of bahrain,NEUTRAL,NEGATIVE,NEGATIVE
11181,continuation and revamping of the scheme for financial_support to public_private partnerships in infrastructure viability gap funding scheme will boost productive amp efficient infrastructure creation and be hugely beneficial to people across the nation,POSITIVE,POSITIVE,POSITIVE
11182,cabinet_decision of pli_scheme for sectors will boost_manufacturing give opportunities to youth while making_india a preferred_investment destination this is an_important step_towards improving our competitiveness amp realising an_aatmanirbhar bharat,POSITIVE,POSITIVE,NEUTRAL
11183,inaugurating office cum residential complex of cuttack bench of itat transparencyintaxation,NEUTRAL,NEUTRAL,NEGATIVE
11184,maulana azad and acharya kripalani are remembered as exemplary stalwarts who made_outstanding contributions to national_progress they_devoted themselves_towards empowering the lives of the poor and youth i_bow to them on their jayanti their ideals_continue to motivate us,POSITIVE,NEGATIVE,NEGATIVE
11185,i thank the people of valmiki nagar lok_sabha seat for blessing_nda with their support in the by poll i_congratulate shri sunil kumar_ji on his win and wish_him the very_best for his parliamentary tenure i also laud the efforts of the nda family that worked_hard on the ground,POSITIVE,POSITIVE,POSITIVE
11186,birthday_wishes to nagaland cm_mr he is one of the senior_most leaders from the northeast who has_been serving the region and the people of nagaland for_decades i_pray for his_long and healthy_life,POSITIVE,NEUTRAL,NEUTRAL
11187,democracy has_won once_again from the blessings of public janardhan in bihar with the resolution surrender all the workers of nda worked with bjpbihar i_congratulate the workers and i reveal gratitude to the people of bihar,POSITIVE,POSITIVE,NEUTRAL
11188,bihar_s village_poor farmer labor trader shopkeeper every_class has expressed trust on the original mantra of nda s everyone s development everyone s faith i reassure every_citizen of bihar that every_person for the balanced_development of every region we will_continue to work with full dedication,POSITIVE,POSITIVE,POSITIVE
11189,bihar_s sisters daughters have_shown voting in the record_number this time that their role in self_reliant bihar is so big we have satisfaction_that in the past_years nda got the opportunity to give new confidence to bihar_s motherhood this confidence will give_us power to pursue bihar,POSITIVE,POSITIVE,POSITIVE
11190,the young_colleagues of bihar have made clear that this new decade will_be of bihar and self_reliant bihar is his roadmap the youth of bihar have trusted their power and the resolution of nda this young energy has now encountered nda to expect more diligence than before,POSITIVE,POSITIVE,POSITIVE
11191,each voter in bihar clearly told that he is_aspiring and his priority is just and only development even_after years in bihar the good_governance of nda will again show that what is the dreams of bihar what are the expectations of bihar,POSITIVE,POSITIVE,POSITIVE
11192,bihar has_taught the first_lesson of democracy to the world today bihar has again told the world how democracy is strengthened in the record_number the poor_deprived and women of bihar also voted and has also given their decisive decision for development,POSITIVE,POSITIVE,NEUTRAL
11193,binding between gujarat and bjp the affection of the state s people has once_again been seen in sub_elections where bjpgujarat has_achieved full victory i thank_you for supporting the people of gujarat,POSITIVE,POSITIVE,POSITIVE
11194,very_special to win bjpkarnataka in shira and rajarajeshas in karnataka the central and zee is a constant confidence that people have people on the state government s reform programs which confirms,POSITIVE,POSITIVE,POSITIVE
11195,dalch is a historic success bjptelangana thank_you thanks to the vulnerabilities provided_by their_blessings this gives_us more energy to serve state development our activists have made a_lot of effort,POSITIVE,POSITIVE,POSITIVE
11196,i_am thankful to all the voters to believe in the bjp in the sub_elections of uttar_pradesh these_results show that under the leadership of yogi adityanath the state is moving rapidly to touch the new_heights of development the results of the by election will give the efforts of the up government,POSITIVE,POSITIVE,NEUTRAL
11197,the people of madhya_pradesh have made a stable and strong government in the state today i express_gratitude to madhya_pradesh for reasons and blessings on bjp after these_results under the leadership of shivraj ji the development_journey of madhya_pradesh will move_forward at a fast_speed,POSITIVE,POSITIVE,POSITIVE
11198,in uttar_pradesh the pro_people policies of the centre and up government under ji have endeared our party to the citizens they have_given unequivocal support to the bjp for which i express_gratitude i also appreciate the good work of the unit,POSITIVE,POSITIVE,POSITIVE
11199,powered_by the progressive agenda of the government under and the hardwork of our party has_emerged as the unparalleled choice of the people i thank the people of mp for blessing bjp in the by_polls held across the state their affection is invaluable,POSITIVE,POSITIVE,NEUTRAL
11200,bond_between the people of gujarat amp bjp is unbreakable this affection is again seen in the by_polls where made a clean_sweep i thank the people of gujarat for the support i_appreciate the work of the local unit and the state government under ji,POSITIVE,POSITIVE,NEUTRAL
11201,the ’s victories in rajarajeshwarinagar and sira are extremely special it reaffirms the people’s unwavering_faith in the reform agenda of the centre and state government under ji i thank the people for their support and laud the efforts of our karyakartas,POSITIVE,POSITIVE,POSITIVE
11202,i thank the people of dubbak for blessing this is a historic_win and gives_us strength to serve the state with greater vigour our karyakartas worked very_hard and i_laud their noteworthy_efforts in furthering bjp’s_development agenda,POSITIVE,POSITIVE,POSITIVE
11203,i thank the people of manipur for once_again reposing faith in the development_agenda of bjp congratulations to for the phenomenal wins in the by_polls these victories will strengthen the state government under ji and help fulfil_people’s aspirations,POSITIVE,POSITIVE,POSITIVE
